run_id,source,model,use_solution,use_guidelines,use_reasoning,use_breakdown,strictness,temperature,runs,few_shot,n_graded,n_valid_vs_TA,mean_total_score,std_total_score,MAE_vs_TA_avg,MAE_CI95_lo,MAE_CI95_hi,bias_vs_TA_avg,zero_rate,AI_TA_pearson_r,behaviour,n_failed,Q1_MAE_vs_TA,Q2_MAE_vs_TA,Q3_MAE_vs_TA,Q1_mean,Q2_mean,Q3_mean,Q4_mean
A01,gemini,flash-lite,1,1,0,1,neutral,0.0,1,0,570,570,24.25701754385965,6.194219899056208,3.339342105263158,3.148987938596491,3.5339506578947364,-1.7781140350877194,0.0035087719298245615,0.8636523076909765,graded,2,1.5173684210526315,2.245,1.4484649122807018,8.508771929824562,6.583333333333333,9.164912280701754,0.0
B01,gemini,flash-lite,0,1,0,1,neutral,0.0,1,0,567,567,29.328924162257497,4.878543496753463,4.126587301587302,3.834272486772487,4.415819003527337,3.2988977072310406,0.001763668430335097,0.8060088321789266,graded,1,1.7473684210526317,1.1992063492063494,1.9740789473684208,9.953508771929824,9.31305114638448,10.056140350877193,0.0
B02,gemini,flash-lite,1,0,0,1,neutral,0.0,1,0,569,569,24.633567662565905,5.346587838045716,3.3357205623901582,3.1600516256590514,3.517908611599297,-1.4169156414762742,0.0017574692442882249,0.8664674367173425,graded,1,1.439718804920914,2.017631578947369,1.4407456140350878,8.558875219683655,6.922807017543859,9.143859649122806,0.0
B03,gemini,flash-lite,1,1,1,1,neutral,0.0,1,0,570,570,25.882438596491227,6.962156436778571,2.050377192982456,1.8898249999999999,2.2112587719298245,-0.15269298245614035,0.0017543859649122807,0.9211085039591714,graded,1,1.0626754385964912,0.653201754385965,1.1909035087719297,8.29390350877193,8.745833333333334,8.842701754385965,0.0
B04,gemini,flash-lite,1,1,0,0,neutral,0.0,1,0,569,569,24.57293497363796,6.267471804039177,3.224428822495606,3.029727592267135,3.426518014059753,-1.4541300527240775,0.0035149384885764497,0.8568585811824061,graded,2,1.4031634446397188,2.2655263157894736,1.3907456140350876,8.82688927943761,6.5929824561403505,9.153508771929825,0.0
C01,gemini,flash-lite,1,1,0,1,strict,0.0,1,0,570,570,20.59561403508772,6.753250735182691,5.752412280701755,5.463110745614035,6.043078947368421,-5.439517543859648,0.008771929824561403,0.8437936753169624,graded,5,2.1673684210526316,3.1478947368421055,1.6383771929824562,6.9903508771929825,5.620175438596491,7.985087719298246,0.0
C02,gemini,flash-lite,1,1,0,1,lenient,0.0,1,0,569,569,30.051845342706503,4.960534487187265,4.494332161687169,4.18051625659051,4.82210237258348,4.013576449912128,0.0017574692442882249,0.809862663232147,graded,1,1.997891036906854,1.2349999999999999,2.237938596491228,10.579964850615115,8.757017543859648,10.714035087719298,0.0
D01,gemini,3-flash-preview,1,1,0,1,neutral,0.0,1,0,570,570,26.047500000000003,7.075450709746036,1.6424561403508773,1.5060953947368423,1.7851381578947367,0.012368421052631562,0.0,0.9458511141203241,graded,0,0.759780701754386,0.5679385964912281,0.9776315789473684,8.64671052631579,8.78671052631579,8.614078947368421,0.0
D02,gemini,3.1-pro-preview,1,1,0,1,neutral,0.0,1,0,570,570,25.21382456140351,7.6170613648308985,1.8604473684210525,1.7033096491228068,2.023940789473684,-0.8213070175438596,0.0035087719298245615,0.940438484309079,graded,2,0.8727631578947369,0.5928947368421053,1.110385964912281,8.348464912280702,8.634210526315789,8.231149122807018,0.0
D03,gemini,2.5-pro,1,1,0,1,neutral,0.0,1,0,570,570,22.182824561403507,8.392884801681662,4.096412280701754,3.8303541666666674,4.378684868421052,-3.85230701754386,0.0017543859649122807,0.9022576995178847,graded,1,1.4827456140350876,0.785921052631579,2.400938596491228,7.561956140350878,8.23788596491228,6.382982456140351,0.0
