run_id,source,model,use_solution,use_guidelines,use_reasoning,use_breakdown,strictness,temperature,runs,few_shot,students,n_graded,n_valid_vs_TA,mean_total_score,std_total_score,MAE_vs_TA_avg,MAE_CI95_lo,MAE_CI95_hi,bias_vs_TA_avg,zero_rate,AI_TA_pearson_r,x_floor,behaviour,n_failed,Q1_MAE_vs_TA,Q2_MAE_vs_TA,Q3_MAE_vs_TA,Q1_mean,Q2_mean,Q3_mean
IG19,gemini,3-flash-preview,1,0,0,1,strict,0.0,1,0,1-100,100,100,15.7238,13.8935,2.868,1.945,4.1048,0.0895,0.05,0.8992,0.559,graded,938,1.9705,1.3707,0.8253,8.0475,3.73,3.9463
IG17,gemini,3-flash-preview,1,0,0,0,neutral,0.0,1,0,1-100,96,96,17.5677,14.7056,3.3742,2.4198,4.7003,2.3836,0.0625,0.9048,0.658,graded,942,2.2391,0.8341,0.7724,9.0104,4.5182,4.0391
IG08,gemini,3.1-pro-preview,1,0,0,1,neutral,0.0,1,0,all,1038,1038,30.7663,14.2983,3.3964,3.1573,3.6493,1.1831,0.0077,0.936,0.662,graded,0,1.9359,1.1929,1.4997,12.4676,9.0479,9.2507
IG09,gemini,2.5-pro,1,0,0,1,neutral,0.0,1,0,all,1035,1035,28.7623,14.0094,3.4749,3.2403,3.7235,-0.832,0.0077,0.9338,0.677,graded,3,1.8767,1.3122,1.5034,11.5138,8.5133,8.7352
IO01,openai,gpt-5.5,1,0,0,1,neutral,0.0,1,0,all,1038,1038,30.812,14.0609,3.543,3.3303,3.7692,1.2288,0.0067,0.9409,0.69,graded,0,2.5646,1.2439,1.4405,13.4605,8.3039,9.0476
IG23,gemini,3.1-pro-preview,1,0,0,1,strict,0.0,1,0,all,1038,1038,28.5825,14.4655,3.6742,3.4254,3.9351,-1.0007,0.0106,0.9284,0.716,graded,0,1.9263,1.6466,1.5212,11.9504,8.0443,8.5878
IO02,openai,gpt-5.5,1,0,0,1,strict,0.0,1,0,all,1038,1038,28.2056,13.6186,3.7,3.4842,3.9285,-1.3776,0.0077,0.9377,0.721,graded,0,2.3822,1.8533,1.5166,12.6316,7.349,8.225
IG16,gemini,3-flash-preview,1,0,1,1,neutral,0.0,1,0,1-100,100,100,18.414,14.6409,3.7552,2.7767,5.0053,2.7798,0.04,0.9049,0.732,graded,938,1.7618,1.2032,1.1302,8.4778,5.295,4.6413
IG07,gemini,3-flash-preview,1,0,0,1,neutral,0.0,1,0,all,1038,1038,31.8268,14.4816,3.9167,3.6817,4.164,2.2436,0.0087,0.9375,0.763,graded,0,2.5804,1.1804,1.4882,13.5888,8.9415,9.2966
IA106,local,llama33-70b,1,0,0,0,neutral,0.0,1,0,all,1016,1016,29.5527,13.9117,4.2922,4.049,4.5461,0.0079,0.0305,0.9138,0.836,graded,22,3.0285,1.7038,1.9914,13.6393,8.0669,7.8465
IG18,gemini,flash-lite,1,0,0,1,neutral,0.0,1,2,all,693,693,28.3882,13.6792,4.3003,4.0104,4.6005,0.3613,0.0202,0.9195,0.838,graded,345,2.697,1.8048,2.07,12.298,7.487,8.6032
IO11,openai,gpt-5.4,1,0,0,1,neutral,0.0,1,0,all,1038,1038,27.6375,12.8153,4.3023,4.0658,4.5471,-1.9457,0.0058,0.9248,0.838,graded,0,2.4299,1.5922,1.8632,11.6618,7.9675,8.0082
IG15,gemini,3-flash-preview,0,0,0,1,neutral,0.0,1,0,1-100,100,100,19.145,14.9666,4.3453,3.3185,5.641,3.5107,0.05,0.9008,0.847,graded,938,2.7245,1.0057,1.104,9.555,4.9175,4.6725
IN01,anthropic,claude-opus-5,1,0,0,1,neutral,0.0,1,0,all,1038,1038,26.9454,13.4876,4.3728,4.1271,4.6285,-2.6378,0.0106,0.9273,0.852,graded,0,2.0952,2.523,1.5996,12.1283,6.6322,8.1849
IA64,local,qwen25-coder-32b,1,0,0,0,neutral,0.0,1,0,all,1038,1038,29.7115,12.4472,4.4542,4.213,4.706,0.1283,0.0125,0.91,0.868,graded,0,3.224,1.7715,1.9123,14.0241,7.6069,8.0804
IA133,local,qwen3-coder-next,1,0,0,1,neutral,0.0,1,0,all,1021,1021,31.0108,13.122,4.4727,4.2396,4.7195,1.5126,0.0118,0.9169,0.872,graded,17,3.456,2.0884,1.944,14.7047,7.2649,9.0411
IA137,local,qwen3-coder-next,1,0,1,1,neutral,0.0,1,0,all,1021,1021,31.0108,13.122,4.4727,4.2396,4.7195,1.5126,0.0118,0.9169,0.872,graded,17,3.456,2.0884,1.944,14.7047,7.2649,9.0411
IG14,gemini,3.1-pro-preview,1,0,0,1,lenient,0.0,1,0,all,1033,1033,33.0093,14.3133,4.4781,4.2203,4.746,3.4609,0.0077,0.9349,0.873,graded,5,2.2275,1.4269,1.7798,13.2127,9.9095,9.8871
IA126,local,qwen3-235b-a22b,1,0,0,1,rigorous,0.0,1,0,all,1038,1038,31.6898,13.7335,4.5305,4.2881,4.7825,2.1066,0.0145,0.9184,0.883,graded,0,3.0437,1.4086,1.9578,13.9831,8.6898,9.0169
IA01-Q32-n,local,qwen25-coder-32b,1,0,0,1,neutral,0.0,1,0,all,1038,1038,29.3781,11.8941,4.5718,4.3269,4.8282,-0.2051,0.0164,0.9082,0.891,graded,0,3.2465,1.9464,1.9541,13.9817,7.3574,8.039
IA127,local,qwen3-235b-a22b,1,0,0,1,exacting,0.0,1,0,all,1038,1038,28.0039,13.5605,4.577,4.3197,4.8442,-1.5794,0.0308,0.9069,0.892,graded,0,2.64,2.0778,1.9921,12.501,7.3998,8.1031
IA93,local,qwen25-coder-32b,1,0,1,1,neutral,0.0,1,0,all,1033,1033,29.3761,11.9048,4.5903,4.3425,4.8459,-0.2371,0.0165,0.9079,0.894,graded,5,3.2413,1.9472,1.9581,13.9758,7.3533,8.047
IA112,local,llama33-70b,1,0,0,1,mpnharsh,0.0,1,0,all,1038,1038,31.1961,13.0421,4.599,4.3567,4.8537,1.6128,0.0241,0.9117,0.896,graded,0,3.5173,1.7217,1.9264,14.6248,8.0,8.5713
