Number,TA_1_ID,TA_2_ID,TA 1 - Q1 Grade,TA 1 - Q2 Grade,TA 1 - Q3 Grade,TA 1 - Total Grade,TA 2 - Q1 Grade,TA 2 - Q2 Grade,TA 2 - Q3 Grade,TA 2 - Total Grade,Average Grade
1,TA_1,TA_2,3.0,0.0,2.0,5.0,7.0,0.0,2.0,9.0,7.0
2,TA_1,TA_2,1.0,0.0,0.0,1.0,1.5,0.0,0.0,1.5,1.25
3,TA_1,TA_2,2.0,0.0,2.0,4.0,2.5,0.0,2.0,4.5,4.25
4,TA_1,TA_2,6.0,9.0,5.0,20.0,4.5,5.5,5.5,15.5,17.75
5,TA_1,TA_2,8.0,0.0,0.0,8.0,9.0,0.0,0.0,9.0,8.5
6,TA_1,TA_2,14.0,0.0,2.0,16.0,15.0,0.0,2.0,17.0,16.5
7,TA_1,TA_2,1.5,0.0,0.0,1.5,5.0,0.0,0.0,5.0,3.25
8,TA_1,TA_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,TA_1,TA_2,4.5,1.0,2.5,8.0,2.5,6.0,3.5,12.0,10.0
10,TA_1,TA_2,15.0,16.0,21.0,52.0,21.0,17.0,22.0,60.0,56.0
11,TA_1,TA_2,3.0,9.0,0.0,12.0,4.0,8.0,0.0,12.0,12.0
12,TA_1,TA_2,1.5,3.5,1.5,6.5,-0.5,2.5,3.0,5.0,5.75
13,TA_1,TA_2,8.0,2.25,3.0,13.25,7.5,3.5,3.5,14.5,13.875
14,TA_1,TA_2,6.0,10.0,13.0,29.0,5.0,7.0,12.0,24.0,26.5
15,TA_1,TA_2,8.5,9.0,4.0,21.5,9.5,7.5,3.5,20.5,21.0
16,TA_1,TA_2,2.5,0.0,0.0,2.5,1.0,1.0,0.0,2.0,2.25
17,TA_1,TA_2,4.75,0.0,2.5,7.25,5.5,0.0,2.5,8.0,7.625
18,TA_1,TA_2,1.5,0.0,0.0,1.5,2.0,0.0,0.0,2.0,1.75
19,TA_1,TA_2,11.0,0.0,0.0,11.0,11.5,0.0,0.0,11.5,11.25
20,TA_1,TA_2,1.5,3.5,1.5,6.5,3.0,7.5,3.0,13.5,10.0
21,TA_1,TA_2,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0
22,TA_1,TA_2,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
23,TA_1,TA_2,6.5,3.0,0.0,9.5,4.0,4.0,0.0,8.0,8.75
24,TA_1,TA_2,15.0,4.0,2.0,21.0,17.5,4.0,2.0,23.5,22.25
25,TA_1,TA_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,TA_1,TA_2,6.0,2.0,0.0,8.0,8.0,3.0,0.0,11.0,9.5
27,TA_1,TA_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,TA_1,TA_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,TA_1,TA_2,6.0,6.5,14.0,26.5,0.0,0.0,0.0,0.0,13.25
30,TA_1,TA_2,4.0,0.0,0.0,4.0,3.5,0.0,0.0,3.5,3.75
31,TA_1,TA_2,1.25,0.0,2.0,3.25,2.0,0.0,2.0,4.0,3.625
32,TA_1,TA_2,8.5,0.0,4.0,12.5,13.5,2.0,5.5,21.0,16.75
33,TA_1,TA_2,10.5,0.0,0.0,10.5,13.5,0.0,0.0,13.5,12.0
34,TA_1,TA_2,3.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0
35,TA_1,TA_2,1.5,0.0,0.0,1.5,2.0,0.0,0.0,2.0,1.75
36,TA_1,TA_2,1.0,0.0,0.0,1.0,-1.5,0.0,0.0,-1.5,-0.25
37,TA_1,TA_2,0.0,2.0,0.0,2.0,-1.0,1.5,0.0,0.5,1.25
38,TA_1,TA_2,12.0,0.0,6.0,18.0,13.5,0.0,5.5,19.0,18.5
39,TA_1,TA_2,5.0,0.0,0.0,5.0,11.0,0.0,0.0,11.0,8.0
40,TA_1,TA_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,TA_1,TA_2,1.5,4.0,3.5,9.0,5.5,4.5,4.5,14.5,11.75
42,TA_1,TA_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,TA_1,TA_2,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.75
44,TA_3,TA_4,7.0,8.25,3.0,18.25,9.0,8.0,2.0,19.0,18.625
45,TA_3,TA_4,4.0,2.5,5.0,11.5,6.0,2.75,4.5,13.25,12.375
46,TA_3,TA_4,2.0,8.75,2.0,12.75,3.0,7.75,2.0,12.75,12.75
